Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3.0,65.0,8450,3.03232462173315,3.040175310445581,3.0594594594594593,3.0297482837528604,3.0287868403015765,3.027566539923954,3.032561505065123,3.066666581001408,3.011904761904762,3.026989619377163,3.0221311475409838,2.9168539325842695,7,5,2003,2003,3.0306748466257667,3.0285913528591353,2.955339805825243,2.9543650793650795,3.0247191011235954,196.0,2.8258196721311477,3.0054602184087362,2.8778979907264297,2.883495145631068,3.026697177726926,3.0440713536201467,2.911483253588517,706,3.019904458598726,0,150,856,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,856,854,0,1710,1,0,2,1,3,1,2.8839590443686007,8,3.013235294117647,0,3.0434782608695654,2.964367816091954,2003.0,2.8696682464454977,2,548,2.9969488939740656,3.0075414781297134,3.0082089552238807,0,61,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,2,2008,3.069455406471981,3.0734557595993324,208500
2,20,3.0,80.0,9600,3.03232462173315,3.040175310445581,3.0594594594594593,3.0297482837528604,3.0287868403015765,2.9818748251923597,3.032561505065123,3.020451971993322,3.0247004789699585,3.026989619377163,3.0221311475409838,3.017906336088154,6,8,1976,1976,3.0306748466257667,3.0285913528591353,2.9090909093375803,2.901869159355091,3.0493119266055047,0.0,3.15121412803532,3.0054602184087362,3.085173501577287,2.883495145631068,3.026697177726926,3.089551558294749,3.090909090781007,978,3.019904458598726,0,284,1262,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,1262,0,0,1262,0,1,2,0,3,1,3.1496598639455784,6,3.013235294117647,1,3.0000000000000053,2.964367816091954,1976.0,2.8696682464454977,2,460,2.9969488939740656,3.0075414781297134,3.0082089552238807,298,0,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,5,2007,3.069455406471981,3.0734557595993324,181500
3,60,3.0,68.0,11250,3.03232462173315,3.040175310445581,2.981404958677686,3.0297482837528604,3.0287868403015765,3.027566539923954,3.032561505065123,3.066666581001408,3.011904761904762,3.026989619377163,3.0221311475409838,2.9168539325842695,7,5,2001,2002,3.0306748466257667,3.0285913528591353,2.955339805825243,2.9543650793650795,3.0247191011235954,162.0,2.8258196721311477,3.0054602184087362,2.8778979907264297,2.883495145631068,3.026697177726926,2.947375154127224,2.911483253588517,486,3.019904458598726,0,434,920,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,920,866,0,1786,1,0,2,1,3,1,2.8839590443686007,6,3.013235294117647,1,3.0000000000000053,2.964367816091954,2001.0,2.8696682464454977,2,608,2.9969488939740656,3.0075414781297134,3.0082089552238807,0,42,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,9,2008,3.069455406471981,3.0734557595993324,223500
4,70,3.0,60.0,9550,3.03232462173315,3.040175310445581,2.981404958677686,3.0297482837528604,3.0287868403015765,3.060836501900244,3.032561505065123,3.0200026745617756,3.011904761904762,3.026989619377163,3.0221311475409838,2.9168539325842695,7,5,1915,1970,3.0306748466257667,3.0285913528591353,3.218446600356333,3.2073264474907854,3.0493119266055047,0.0,3.15121412803532,3.0054602184087362,3.445204075220309,3.163328197226502,2.9394537207412452,3.0440713536201467,3.090909090781007,216,3.019904458598726,0,540,756,3.022408963585434,3.120331950184358,3.0205128205128204,3.0134932533733134,961,756,0,1717,1,0,1,0,3,1,2.8839590443686007,7,3.013235294117647,1,3.0236842105263158,3.1627906976744184,1998.0,3.1669421487603304,3,642,2.9969488939740656,3.0075414781297134,3.0082089552238807,0,35,272,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,2,2006,3.069455406471981,2.891130886895454,140000
5,60,3.0,84.0,14260,3.03232462173315,3.040175310445581,2.981404958677686,3.0297482837528604,3.0287868403015765,2.9818748251923597,3.032561505065123,3.0031384017056273,3.011904761904762,3.026989619377163,3.0221311475409838,2.9168539325842695,8,5,2000,2000,3.0306748466257667,3.0285913528591353,2.955339805825243,2.9543650793650795,3.0247191011235954,350.0,2.8258196721311477,3.0054602184087362,2.8778979907264297,2.883495145631068,3.026697177726926,2.9592760182291493,2.911483253588517,655,3.019904458598726,0,490,1145,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,1145,1053,0,2198,1,0,2,1,4,1,2.8839590443686007,9,3.013235294117647,1,3.0000000000000053,2.964367816091954,2000.0,2.8696682464454977,3,836,2.9969488939740656,3.0075414781297134,3.0082089552238807,192,84,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,12,2008,3.069455406471981,3.0734557595993324,250000
6,50,3.0,85.0,14115,3.03232462173315,3.040175310445581,2.981404958677686,3.0297482837528604,3.0287868403015765,3.027566539923954,3.032561505065123,3.0982193321546396,3.011904761904762,3.026989619377163,3.0221311475409838,3.2727269030930493,5,5,1993,1995,3.0306748466257667,3.0285913528591353,2.955339805825243,2.9543650793650795,3.0493119266055047,0.0,3.15121412803532,3.0054602184087362,3.0243236019633506,2.883495145631068,3.026697177726926,3.0440713536201467,2.911483253588517,732,3.019904458598726,0,64,796,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,796,566,0,1362,1,0,1,1,1,1,3.1496598639455784,5,3.013235294117647,0,3.0434782608695654,2.964367816091954,1993.0,3.1669421487603304,2,480,2.9969488939740656,3.0075414781297134,3.0082089552238807,40,30,0,320,0,0,3.0289057123193395,3.133757843936987,3.001500307978968,700,10,2009,3.069455406471981,3.0734557595993324,143000
7,20,3.0,75.0,10084,3.03232462173315,3.040175310445581,3.0594594594594593,3.0297482837528604,3.0287868403015765,3.027566539923954,3.032561505065123,1.4904647504034116,3.011904761904762,3.026989619377163,3.0221311475409838,3.017906336088154,8,5,2004,2005,3.0306748466257667,3.0285913528591353,2.955339805825243,2.9543650793650795,2.8984401586053608,186.0,2.8258196721311477,3.0054602184087362,2.8778979907264297,2.9173599484580173,3.026697177726926,2.9592760182291493,2.911483253588517,1369,3.019904458598726,0,317,1686,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,1694,0,0,1694,1,0,2,0,3,1,2.8839590443686007,7,3.013235294117647,1,3.0236842105263158,2.964367816091954,2004.0,2.8696682464454977,2,636,2.9969488939740656,3.0075414781297134,3.0082089552238807,255,57,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,8,2007,3.069455406471981,3.0734557595993324,307000
8,60,3.0,,10382,3.03232462173315,3.040175310445581,2.981404958677686,3.0297482837528604,3.0287868403015765,3.060836501900244,3.032561505065123,3.0001428805954125,3.015102141009668,3.026989619377163,3.0221311475409838,2.9168539325842695,7,6,1973,1973,3.0306748466257667,3.0285913528591353,3.0675675675020906,3.067632849947605,2.8984401586053608,240.0,3.15121412803532,3.0054602184087362,3.085173501577287,2.883495145631068,3.026697177726926,2.947375154127224,3.090909090781007,859,3.053787274055361,32,216,1107,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,1107,983,0,2090,1,0,2,1,3,1,3.1496598639455784,7,3.013235294117647,2,3.0000000000000053,2.964367816091954,1973.0,2.8696682464454977,2,484,2.9969488939740656,3.0075414781297134,3.0082089552238807,235,204,228,0,0,0,3.0289057123193395,3.0076335877862594,3.001500307978968,350,11,2009,3.069455406471981,3.0734557595993324,200000
9,50,3.9999999975549225,51.0,6120,3.03232462173315,3.040175310445581,3.0594594594594593,3.0297482837528604,3.0287868403015765,3.027566539923954,3.032561505065123,3.8140874947239753,3.3944306450109183,3.026989619377163,3.0221311475409838,3.2727269030930493,7,5,1931,1950,3.0306748466257667,3.0285913528591353,3.039467271013622,3.2073264474907854,3.0493119266055047,0.0,3.15121412803532,3.0054602184087362,3.445204075220309,3.163328197226502,3.026697177726926,3.0440713536201467,3.072093023255814,0,3.019904458598726,0,952,952,3.022408963585434,3.120331950184358,3.0205128205128204,3.1827791501248086,1022,752,0,1774,0,0,2,0,2,2,3.1496598639455784,8,3.1523959316731855,2,3.0000000000000053,3.1627906976744184,1931.0,3.1669421487603304,2,468,3.4729869636860125,3.0075414781297134,3.0082089552238807,90,0,205,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,4,2008,3.069455406471981,2.891130886895454,129900
10,190,3.0,50.0,7420,3.03232462173315,3.040175310445581,3.0594594594594593,3.0297482837528604,3.0287868403015765,3.060836501900244,3.032561505065123,3.506552941768988,3.3944306450109183,3.0246864762151913,3.176597870563351,3.170435257608747,5,6,1939,1950,3.0306748466257667,3.0285913528591353,2.9090909093375803,2.901869159355091,3.0493119266055047,0.0,3.15121412803532,3.0054602184087362,3.445204075220309,3.163328197226502,3.026697177726926,3.0440713536201467,2.911483253588517,851,3.019904458598726,0,140,991,3.022408963585434,2.9271255060728745,3.0205128205128204,3.0134932533733134,1077,0,0,1077,1,0,1,0,2,2,3.1496598639455784,5,3.013235294117647,2,3.0000000000000053,2.964367816091954,1939.0,2.8696682464454977,1,205,3.0945044660857035,3.0075414781297134,3.0082089552238807,0,4,0,0,0,0,3.0289057123193395,3.0076335877862594,3.0291607396870557,0,1,2008,3.069455406471981,3.0734557595993324,118000
