age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59.0000,admin.,married,secondary,no,2343.0000,yes,no,unknown,5.0000,may,1042.0000,1.0000,-1.0000,0.0000,unknown,yes
41.0000,technician,married,secondary,no,1270.0000,yes,no,unknown,5.0000,may,1389.0000,1.0000,-1.0000,0.0000,unknown,yes
55.0000,services,married,secondary,no,2476.0000,yes,no,unknown,5.0000,may,579.0000,1.0000,-1.0000,0.0000,unknown,yes
54.0000,admin.,married,tertiary,no,184.0000,no,no,unknown,5.0000,may,673.0000,2.0000,-1.0000,0.0000,unknown,yes
42.0000,management,single,tertiary,no,0.0000,yes,yes,unknown,5.0000,may,562.0000,2.0000,-1.0000,0.0000,unknown,yes
56.0000,management,married,tertiary,no,830.0000,yes,yes,unknown,6.0000,may,1201.0000,1.0000,-1.0000,0.0000,unknown,yes
60.0000,retired,divorced,secondary,no,545.0000,yes,no,unknown,6.0000,may,1030.0000,1.0000,-1.0000,0.0000,unknown,yes
37.0000,technician,married,secondary,no,1.0000,yes,no,unknown,6.0000,may,608.0000,1.0000,-1.0000,0.0000,unknown,yes
38.0000,admin.,single,secondary,no,100.0000,yes,no,unknown,7.0000,may,786.0000,1.0000,-1.0000,0.0000,unknown,yes
46.0000,blue-collar,single,tertiary,no,460.0000,yes,no,unknown,7.0000,may,1102.0000,2.0000,-1.0000,0.0000,unknown,yes
31.0000,technician,single,tertiary,no,703.0000,yes,no,unknown,8.0000,may,943.0000,2.0000,-1.0000,0.0000,unknown,yes
35.0000,management,divorced,tertiary,no,3837.0000,yes,no,unknown,8.0000,may,1084.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,blue-collar,single,primary,no,611.0000,yes,no,unknown,8.0000,may,541.0000,3.0000,-1.0000,0.0000,unknown,yes
49.0000,services,married,secondary,no,-8.0000,yes,no,unknown,8.0000,may,1119.0000,1.0000,-1.0000,0.0000,unknown,yes
41.0000,admin.,married,secondary,no,55.0000,yes,no,unknown,8.0000,may,1120.0000,2.0000,-1.0000,0.0000,unknown,yes
49.0000,admin.,divorced,secondary,no,168.0000,yes,yes,unknown,8.0000,may,513.0000,1.0000,-1.0000,0.0000,unknown,yes
28.0000,admin.,divorced,secondary,no,785.0000,yes,no,unknown,8.0000,may,442.0000,2.0000,-1.0000,0.0000,unknown,yes
43.0000,management,single,tertiary,no,2067.0000,yes,no,unknown,8.0000,may,756.0000,1.0000,-1.0000,0.0000,unknown,yes
43.0000,blue-collar,married,primary,no,-192.0000,yes,no,unknown,8.0000,may,1120.0000,2.0000,-1.0000,0.0000,unknown,yes
37.0000,unemployed,single,secondary,no,381.0000,yes,no,unknown,8.0000,may,985.0000,2.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,single,secondary,no,40.0000,yes,no,unknown,9.0000,may,617.0000,4.0000,-1.0000,0.0000,unknown,yes
31.0000,technician,single,tertiary,no,22.0000,yes,no,unknown,9.0000,may,483.0000,3.0000,-1.0000,0.0000,unknown,yes
43.0000,blue-collar,single,secondary,no,3.0000,yes,no,unknown,9.0000,may,929.0000,3.0000,-1.0000,0.0000,unknown,yes
31.0000,admin.,married,secondary,no,307.0000,yes,no,unknown,9.0000,may,538.0000,1.0000,-1.0000,0.0000,unknown,yes
28.0000,blue-collar,single,secondary,no,759.0000,yes,no,unknown,9.0000,may,710.0000,1.0000,-1.0000,0.0000,unknown,yes
32.0000,blue-collar,married,secondary,yes,-1.0000,yes,no,unknown,9.0000,may,653.0000,1.0000,-1.0000,0.0000,unknown,yes
60.0000,technician,married,primary,no,65.0000,yes,no,unknown,9.0000,may,1028.0000,2.0000,-1.0000,0.0000,unknown,yes
26.0000,blue-collar,single,secondary,no,82.0000,yes,no,unknown,9.0000,may,654.0000,1.0000,-1.0000,0.0000,unknown,yes
33.0000,blue-collar,divorced,primary,no,390.0000,yes,no,unknown,9.0000,may,665.0000,2.0000,-1.0000,0.0000,unknown,yes
32.0000,management,single,tertiary,no,311.0000,no,no,unknown,12.0000,may,757.0000,2.0000,-1.0000,0.0000,unknown,yes
35.0000,blue-collar,married,primary,no,414.0000,no,no,unknown,13.0000,may,504.0000,4.0000,-1.0000,0.0000,unknown,yes
33.0000,management,divorced,secondary,no,5.0000,yes,no,unknown,13.0000,may,1346.0000,1.0000,-1.0000,0.0000,unknown,yes
