Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
2.0000,49.0000,male,1.0000,own,little,nan,2096.0000,12.0000,education
4.0000,53.0000,male,2.0000,free,little,little,4870.0000,24.0000,car
6.0000,53.0000,male,2.0000,own,quite rich,nan,2835.0000,24.0000,furniture/equipment
10.0000,25.0000,female,2.0000,rent,little,moderate,1295.0000,12.0000,car
12.0000,22.0000,female,2.0000,own,little,moderate,1567.0000,12.0000,radio/TV
14.0000,28.0000,female,2.0000,rent,little,little,1403.0000,15.0000,car
15.0000,32.0000,female,1.0000,own,moderate,little,1282.0000,24.0000,radio/TV
16.0000,53.0000,male,2.0000,own,nan,nan,2424.0000,24.0000,radio/TV
17.0000,25.0000,male,2.0000,own,nan,little,8072.0000,30.0000,business
19.0000,31.0000,male,2.0000,own,quite rich,nan,3430.0000,24.0000,radio/TV
20.0000,48.0000,male,2.0000,own,little,nan,2134.0000,9.0000,car
21.0000,44.0000,male,2.0000,rent,quite rich,little,2647.0000,6.0000,radio/TV
22.0000,48.0000,male,1.0000,rent,little,little,2241.0000,10.0000,car
23.0000,44.0000,male,2.0000,own,moderate,moderate,1804.0000,12.0000,car
24.0000,26.0000,male,2.0000,own,nan,nan,2069.0000,10.0000,furniture/equipment
25.0000,36.0000,male,1.0000,own,little,little,1374.0000,6.0000,furniture/equipment
26.0000,39.0000,male,1.0000,own,little,nan,426.0000,6.0000,radio/TV
27.0000,42.0000,female,2.0000,rent,rich,rich,409.0000,12.0000,radio/TV
28.0000,34.0000,male,2.0000,own,little,moderate,2415.0000,7.0000,radio/TV
30.0000,36.0000,male,2.0000,own,rich,moderate,1913.0000,18.0000,business
31.0000,27.0000,male,2.0000,own,little,little,4020.0000,24.0000,furniture/equipment
32.0000,30.0000,male,2.0000,own,moderate,moderate,5866.0000,18.0000,car
33.0000,57.0000,male,1.0000,rent,nan,nan,1264.0000,12.0000,business
34.0000,33.0000,female,3.0000,own,little,rich,1474.0000,12.0000,furniture/equipment
36.0000,31.0000,male,2.0000,free,little,nan,6110.0000,48.0000,education
37.0000,37.0000,male,2.0000,own,little,rich,2100.0000,18.0000,radio/TV
38.0000,37.0000,male,2.0000,own,little,rich,1225.0000,10.0000,domestic appliances
39.0000,24.0000,male,2.0000,own,little,moderate,458.0000,9.0000,radio/TV
40.0000,30.0000,male,3.0000,own,quite rich,nan,2333.0000,30.0000,radio/TV
41.0000,26.0000,male,2.0000,own,quite rich,moderate,1158.0000,12.0000,radio/TV
43.0000,24.0000,male,2.0000,rent,moderate,little,6187.0000,30.0000,car
45.0000,35.0000,female,3.0000,own,little,nan,1393.0000,11.0000,car
46.0000,39.0000,male,2.0000,own,quite rich,nan,2299.0000,36.0000,radio/TV
49.0000,28.0000,female,2.0000,own,moderate,nan,2073.0000,12.0000,radio/TV
50.0000,29.0000,male,1.0000,own,nan,moderate,2333.0000,24.0000,furniture/equipment
51.0000,30.0000,male,3.0000,own,little,moderate,5965.0000,27.0000,car
52.0000,25.0000,male,2.0000,own,little,nan,1262.0000,12.0000,radio/TV
53.0000,31.0000,male,2.0000,own,nan,nan,3378.0000,18.0000,car
55.0000,26.0000,male,1.0000,own,nan,nan,783.0000,6.0000,car
57.0000,31.0000,female,2.0000,own,little,nan,9566.0000,36.0000,radio/TV
58.0000,23.0000,female,3.0000,own,little,rich,1961.0000,18.0000,car
60.0000,27.0000,male,2.0000,own,little,moderate,1391.0000,9.0000,business
61.0000,50.0000,male,2.0000,own,nan,moderate,1537.0000,15.0000,radio/TV
64.0000,26.0000,female,2.0000,own,little,nan,3181.0000,24.0000,radio/TV
65.0000,48.0000,male,2.0000,own,nan,nan,5190.0000,27.0000,repairs
66.0000,29.0000,female,2.0000,own,little,nan,2171.0000,12.0000,radio/TV
67.0000,22.0000,male,2.0000,own,rich,moderate,1007.0000,12.0000,car
68.0000,37.0000,male,2.0000,free,little,nan,1819.0000,36.0000,education
69.0000,25.0000,female,2.0000,own,nan,nan,2394.0000,36.0000,radio/TV
70.0000,30.0000,female,2.0000,own,little,nan,8133.0000,36.0000,car
71.0000,46.0000,male,1.0000,rent,nan,nan,730.0000,7.0000,radio/TV
76.0000,34.0000,male,2.0000,own,little,little,3965.0000,42.0000,radio/TV
77.0000,51.0000,male,2.0000,own,little,moderate,4771.0000,11.0000,radio/TV
79.0000,22.0000,male,2.0000,own,little,moderate,3832.0000,30.0000,furniture/equipment
80.0000,44.0000,female,2.0000,own,nan,nan,5943.0000,24.0000,radio/TV
81.0000,47.0000,male,2.0000,own,quite rich,nan,1213.0000,15.0000,radio/TV
82.0000,24.0000,female,1.0000,rent,moderate,nan,1568.0000,18.0000,business
83.0000,58.0000,female,1.0000,own,little,little,1755.0000,24.0000,vacation/others
84.0000,52.0000,male,1.0000,own,little,little,2315.0000,10.0000,radio/TV
85.0000,29.0000,female,3.0000,own,little,nan,1412.0000,12.0000,business
86.0000,27.0000,female,2.0000,own,little,moderate,1295.0000,18.0000,furniture/equipment
88.0000,30.0000,male,3.0000,own,moderate,little,2249.0000,18.0000,car
89.0000,28.0000,male,2.0000,own,little,little,1108.0000,12.0000,repairs
90.0000,56.0000,male,2.0000,own,little,nan,618.0000,12.0000,radio/TV
91.0000,54.0000,male,2.0000,own,little,little,1409.0000,12.0000,car
92.0000,33.0000,female,1.0000,own,nan,nan,797.0000,12.0000,radio/TV
93.0000,20.0000,male,2.0000,rent,nan,rich,3617.0000,24.0000,furniture/equipment
94.0000,54.0000,male,2.0000,own,rich,moderate,1318.0000,12.0000,car
96.0000,61.0000,female,2.0000,own,nan,nan,2012.0000,12.0000,education
97.0000,34.0000,male,2.0000,own,moderate,moderate,2622.0000,18.0000,business
98.0000,36.0000,male,2.0000,own,little,moderate,2337.0000,36.0000,radio/TV
99.0000,36.0000,male,3.0000,rent,nan,moderate,7057.0000,20.0000,car
100.0000,41.0000,male,1.0000,rent,moderate,nan,1469.0000,24.0000,car
101.0000,24.0000,male,2.0000,rent,little,moderate,2323.0000,36.0000,radio/TV
102.0000,24.0000,female,2.0000,own,little,nan,932.0000,6.0000,radio/TV
103.0000,35.0000,male,2.0000,rent,little,moderate,1919.0000,9.0000,furniture/equipment
104.0000,26.0000,male,2.0000,rent,nan,nan,2445.0000,12.0000,car
106.0000,39.0000,male,3.0000,own,little,nan,6458.0000,18.0000,car
107.0000,32.0000,male,2.0000,own,little,moderate,6078.0000,12.0000,car
108.0000,30.0000,female,2.0000,own,nan,little,7721.0000,24.0000,furniture/equipment
109.0000,35.0000,male,2.0000,own,quite rich,moderate,1410.0000,14.0000,business
110.0000,31.0000,male,2.0000,own,moderate,moderate,1449.0000,6.0000,business
111.0000,23.0000,female,2.0000,rent,little,rich,392.0000,15.0000,education
112.0000,28.0000,male,1.0000,rent,little,moderate,6260.0000,18.0000,car
113.0000,25.0000,female,2.0000,own,little,nan,7855.0000,36.0000,car
114.0000,35.0000,male,2.0000,own,quite rich,little,1680.0000,12.0000,radio/TV
115.0000,47.0000,male,2.0000,own,nan,nan,3578.0000,48.0000,radio/TV
117.0000,27.0000,female,2.0000,rent,nan,little,2132.0000,10.0000,furniture/equipment
118.0000,23.0000,female,2.0000,own,quite rich,little,4281.0000,33.0000,furniture/equipment
119.0000,36.0000,male,3.0000,own,quite rich,moderate,2366.0000,12.0000,car
120.0000,25.0000,female,2.0000,own,little,little,1835.0000,21.0000,radio/TV
121.0000,41.0000,female,3.0000,rent,little,nan,3868.0000,24.0000,car
122.0000,24.0000,male,1.0000,rent,little,nan,1768.0000,12.0000,furniture/equipment
123.0000,63.0000,male,2.0000,free,little,rich,781.0000,10.0000,car
124.0000,27.0000,female,2.0000,rent,nan,moderate,1924.0000,18.0000,furniture/equipment
125.0000,30.0000,male,2.0000,own,little,little,2121.0000,12.0000,car
126.0000,40.0000,male,1.0000,own,little,little,701.0000,12.0000,radio/TV
127.0000,30.0000,male,2.0000,own,little,moderate,639.0000,12.0000,repairs
128.0000,34.0000,male,3.0000,own,little,moderate,1860.0000,12.0000,car
129.0000,29.0000,female,2.0000,own,little,little,3499.0000,12.0000,car
131.0000,29.0000,male,2.0000,own,little,little,6887.0000,36.0000,education
132.0000,27.0000,male,1.0000,own,little,nan,2708.0000,15.0000,furniture/equipment
133.0000,47.0000,male,2.0000,free,little,nan,1984.0000,18.0000,furniture/equipment
135.0000,38.0000,female,2.0000,own,nan,nan,1240.0000,12.0000,radio/TV
136.0000,27.0000,male,2.0000,own,rich,nan,8613.0000,27.0000,car
138.0000,35.0000,male,2.0000,own,nan,moderate,2728.0000,15.0000,radio/TV
139.0000,44.0000,female,1.0000,rent,little,rich,1881.0000,12.0000,radio/TV
141.0000,30.0000,female,3.0000,own,little,moderate,4795.0000,36.0000,radio/TV
142.0000,27.0000,male,3.0000,own,little,little,3416.0000,27.0000,radio/TV
143.0000,22.0000,male,2.0000,own,little,little,2462.0000,18.0000,furniture/equipment
144.0000,23.0000,female,2.0000,own,little,nan,2288.0000,21.0000,furniture/equipment
145.0000,30.0000,male,2.0000,own,moderate,moderate,3566.0000,48.0000,business
146.0000,39.0000,female,2.0000,own,little,little,860.0000,6.0000,car
147.0000,51.0000,female,2.0000,own,moderate,nan,682.0000,12.0000,car
148.0000,28.0000,male,2.0000,own,little,little,5371.0000,36.0000,furniture/equipment
149.0000,46.0000,male,2.0000,own,rich,nan,1582.0000,18.0000,radio/TV
150.0000,42.0000,male,2.0000,free,moderate,nan,1346.0000,6.0000,radio/TV
151.0000,38.0000,male,2.0000,own,little,nan,1924.0000,10.0000,radio/TV
152.0000,24.0000,male,2.0000,own,little,rich,5848.0000,36.0000,radio/TV
153.0000,29.0000,female,2.0000,rent,rich,moderate,7758.0000,24.0000,car
154.0000,36.0000,male,3.0000,rent,moderate,moderate,6967.0000,24.0000,business
155.0000,20.0000,female,2.0000,rent,little,little,1282.0000,12.0000,furniture/equipment
156.0000,48.0000,male,2.0000,own,moderate,little,1288.0000,9.0000,repairs
157.0000,45.0000,male,1.0000,own,little,little,339.0000,12.0000,education
158.0000,38.0000,male,2.0000,own,moderate,moderate,3512.0000,24.0000,car
159.0000,34.0000,male,1.0000,own,nan,nan,1898.0000,6.0000,radio/TV
160.0000,36.0000,male,2.0000,own,moderate,nan,2872.0000,24.0000,radio/TV
161.0000,30.0000,female,2.0000,own,little,nan,1055.0000,18.0000,car
162.0000,36.0000,male,2.0000,own,quite rich,nan,1262.0000,15.0000,domestic appliances
164.0000,36.0000,male,2.0000,own,quite rich,nan,909.0000,36.0000,car
165.0000,32.0000,male,2.0000,own,quite rich,nan,2978.0000,6.0000,furniture/equipment
166.0000,33.0000,female,2.0000,own,little,little,1131.0000,18.0000,furniture/equipment
167.0000,20.0000,female,2.0000,own,rich,moderate,1577.0000,11.0000,furniture/equipment
168.0000,25.0000,female,2.0000,rent,little,nan,3972.0000,24.0000,furniture/equipment
169.0000,31.0000,male,2.0000,own,little,moderate,1935.0000,24.0000,business
170.0000,33.0000,male,2.0000,rent,little,little,950.0000,15.0000,car
171.0000,26.0000,female,2.0000,own,little,nan,763.0000,12.0000,furniture/equipment
172.0000,34.0000,female,3.0000,own,little,moderate,2064.0000,24.0000,furniture/equipment
173.0000,33.0000,male,2.0000,own,little,moderate,1414.0000,8.0000,radio/TV
174.0000,26.0000,male,2.0000,own,little,little,3414.0000,21.0000,education
176.0000,42.0000,male,2.0000,own,little,little,2577.0000,12.0000,furniture/equipment
177.0000,52.0000,male,2.0000,own,quite rich,little,338.0000,6.0000,radio/TV
178.0000,31.0000,male,3.0000,rent,little,nan,1963.0000,12.0000,radio/TV
179.0000,65.0000,male,2.0000,own,little,little,571.0000,21.0000,car
180.0000,28.0000,male,2.0000,own,little,nan,9572.0000,36.0000,business
181.0000,30.0000,male,3.0000,own,little,moderate,4455.0000,36.0000,business
182.0000,40.0000,male,1.0000,own,nan,little,1647.0000,21.0000,car
183.0000,50.0000,male,2.0000,own,rich,nan,3777.0000,24.0000,furniture/equipment
184.0000,36.0000,male,2.0000,own,little,moderate,884.0000,18.0000,car
185.0000,31.0000,male,2.0000,own,little,nan,1360.0000,15.0000,radio/TV
188.0000,20.0000,male,2.0000,own,moderate,little,674.0000,12.0000,radio/TV
189.0000,33.0000,female,2.0000,own,little,moderate,3244.0000,18.0000,furniture/equipment
190.0000,54.0000,male,3.0000,own,rich,nan,4591.0000,24.0000,business
192.0000,36.0000,male,2.0000,own,little,moderate,3915.0000,27.0000,business
193.0000,29.0000,male,2.0000,rent,little,nan,2108.0000,6.0000,radio/TV
194.0000,21.0000,male,2.0000,rent,moderate,moderate,3031.0000,45.0000,radio/TV
195.0000,34.0000,female,3.0000,own,little,moderate,1501.0000,9.0000,education
196.0000,28.0000,female,2.0000,own,little,nan,1382.0000,6.0000,radio/TV
197.0000,27.0000,female,2.0000,rent,moderate,moderate,951.0000,12.0000,furniture/equipment
198.0000,36.0000,male,2.0000,free,nan,moderate,2760.0000,24.0000,car
199.0000,40.0000,male,3.0000,own,little,moderate,4297.0000,18.0000,furniture/equipment
200.0000,52.0000,male,2.0000,own,quite rich,nan,936.0000,9.0000,education
201.0000,27.0000,male,1.0000,own,little,little,1168.0000,12.0000,car
202.0000,26.0000,male,2.0000,own,little,nan,5117.0000,27.0000,business
203.0000,21.0000,male,2.0000,rent,little,little,902.0000,12.0000,education
204.0000,38.0000,male,1.0000,own,little,nan,1495.0000,12.0000,car
